seed method state_type dim total_cells perc_genes perc_cells flag ct_in_state adj.rsq max.rsq max.rsq_sub total_cells_can_occupy_state total_cells_occupy_state total_genes total_genes_in_state
6 PCA across_cts 10 20000 0.15 0.5 NA ASC_EX_INH_MG_ODC_OPC_PER.END 0.420310116040623 0.332834672037116 0.332834672037116 20004 10002 2527 379
3 PCA within_one_ct 10 20000 0.15 0.15 NA ODC 0.0511254735402232 0.0380323250670475 0.000629374114347386 12220 1833 2527 379
9 PCA across_cts 10 20000 0.15 0.5 NA ASC_EX_INH_MG_ODC_OPC_PER.END 0.387149012384873 0.233738090065244 0.233738090065244 20004 10002 2527 379
3 PCA across_cts 10 20000 0.3 0.3 NA ASC_EX_INH_MG_ODC_OPC_PER.END 0.539319394903822 0.537713681863274 0.537713681863274 20004 6001 2527 758
2 PCA within_one_ct 10 20000 0.7 0.5 NA ODC 0.789260781276989 0.570247535327745 0.776039329781609 12220 6110 2527 1768
1 PCA across_cts 10 20000 0.3 0.7 NA ASC_EX_INH_MG_ODC_OPC_PER.END 0.627154698032244 0.626584807391918 0.626584807391918 20004 14002 2527 758
8 PCA across_cts 10 20000 0.15 0.15 NA ASC_EX_INH_MG_ODC_OPC_PER.END 0.00441575857290488 0.00250376954024012 0.00250376954024012 20004 3000 2527 379
7 PCA across_cts 10 20000 0.15 0.7 NA ASC_EX_INH_MG_ODC_OPC_PER.END 0.312644183508709 0.264966448272707 0.264966448272707 20004 14002 2527 379
7 PCA within_one_ct 10 20000 0.5 0.3 NA EX 0.560394843586363 0.333042930130182 0.689983530724235 2001 600 2527 1263
4 PCA across_cts 10 20000 0.15 0.5 NA ASC_EX_INH_MG_ODC_OPC_PER.END 0.504268252536158 0.493556415960538 0.493556415960538 20004 10002 2527 379
1 PCA across_cts 10 20000 0.3 0.3 NA ASC_EX_INH_MG_ODC_OPC_PER.END 0.586363987709084 0.584543273359553 0.584543273359553 20004 6001 2527 758
8 PCA within_one_ct 10 20000 0.5 0.3 NA MG 0.23638592705763 0.127912175631767 0.0126335654860547 1292 387 2527 1263
6 PCA across_cts 10 20000 0.3 0.3 NA ASC_EX_INH_MG_ODC_OPC_PER.END 0.581506214268618 0.580171719481525 0.580171719481525 20004 6001 2527 758
7 PCA within_one_ct 10 20000 0.3 0.7 NA EX 0.559739823590581 0.254906117394369 0.163245711715006 2001 1400 2527 758
10 PCA within_one_ct 10 20000 0.7 0.7 NA INH 0.809336765155656 0.289800474049936 0.812191513073426 1939 1357 2527 1768
7 PCA across_cts 10 20000 0.3 0.3 NA ASC_EX_INH_MG_ODC_OPC_PER.END 0.54280417566766 0.54008564688622 0.54008564688622 20004 6001 2527 758
7 PCA across_cts 10 20000 0.15 0.15 NA ASC_EX_INH_MG_ODC_OPC_PER.END 0.00221013652575996 0.00168072421069099 0.00168072421069099 20004 3000 2527 379
8 PCA within_one_ct 10 20000 0.7 0.3 NA MG 0.232932177835912 0.130341286040622 0.00898457649320159 1292 387 2527 1768
1 PCA across_cts 10 20000 0.3 0.15 NA ASC_EX_INH_MG_ODC_OPC_PER.END 0.368200162531399 0.36217328041507 0.36217328041507 20004 3000 2527 758
