cells genes PCA method user_time_seconds system_time_seconds elapsed_time_seconds raw_elapsed_time max_resident_set_size_kbytes avg_resident_set_sizes memory_used_bytes_R_python
25000 10000 Conditional Seurat 4811.11 14482.58 1484.76 24:44.76 46844768 0 4745854944000000
25000 10000 Conditional Seurat 8904.65 21741.55 1452.99 24:12.99 11713680 0 4745854944000000
100000 3000 Conditional Seurat 2469.60 4236.75 970.04 16:10.04 71659600 0 5859082096000000
100000 10000 Standard my_method 1912.20 151.59 1812.31 30:12.31 145857456 0 104420225024
200000 3000 Standard my_method 1792.36 140.02 1866.68 31:06.68 131431232 0 106694500352
200000 3000 Standard my_method 1642.81 108.92 1817.13 30:17.13 38659936 0 92936024064
200000 3000 Standard my_method 1714.99 183.45 1881.3 31:21.30 154639952 0 37422264320
100000 10000 Standard my_method 1980.87 104.39 1964.49 32:44.49 36459540 0 55754547200
100000 10000 Standard my_method 1981.09 63.99 1946.87 32:26.87 36463336 0 33596452864
100000 10000 Standard my_method 2599.52 220.06 2097.98 34:57.98 36460492 0 31412428800
25000 10000 Conditional Seurat 8000.32 19995.03 1939.69 32:19.69 11720904 0 4745854944000000
20000 10000 Conditional Seurat 4878.08 16929.63 1950.76 32:30.76 37792096 0 3839426488000000
200000 10000 Standard Seurat 27037.03 2497.51 2299.83 38:19.83 270937680 0 36460294064000000
200000 3000 Conditional Seurat 4708.60 4383.83 1916.9 31:56.90 140462384 0 11510672664000000
200000 3000 Standard my_method 2709.14 882.93 2841.69 47:21.69 153916912 0 26346143744
200000 5000 Standard my_method 3213.32 75.80 3094.41 51:34.41 257189472 0 43579715584
100000 5000 Conditional Seurat 4504.43 6274.59 2127.64 35:27.64 103749184 0 9426727376000000
100000 10000 Standard my_method 2978.49 294.14 3522.32 58:42.32 138147632 0 30723575808
200000 5000 Standard my_method 3580.92 117.81 3551.55 59:11.55 241568128 0 42708623360
200000 3000 Conditional Seurat 4884.26 4365.88 2023.83 33:43.83 140757360 0 11510672664000000
20000 20000 Conditional Seurat 9264.44 37487.82 3671 1:01:11 71304928 0 7404771200000000
200000 5000 Standard my_method 3452.14 366.56 3889 1:04:49 257186720 0 43043696640
20000 20000 Conditional Seurat 11370.15 49101.55 3710 1:01:50 71316944 0 7404771200000000
20000 20000 Conditional Seurat 9882.18 41072.32 3919 1:05:19 71300800 0 7404771200000000
20000 20000 Conditional Seurat 10860.74 47703.84 4003 1:06:43 17828388 0 7404771200000000
200000 5000 Standard my_method 3451.31 1116.52 4365 1:12:45 247482048 0 98750488576
200000 5000 Conditional Seurat 9329.79 7247.04 4321 1:12:01 204369888 0 18637948184000000
100000 5000 Conditional Seurat 5504.12 2541.72 4535 1:15:35 103965424 0 9426727376000000
25000 20000 Conditional Seurat 11185.01 41995.16 4676 1:17:56 88083168 0 9202021984000000
100000 3000 Conditional Seurat 2584.65 4094.83 1180.88 19:40.88 71729360 0 5859082096000000
25000 20000 Conditional Seurat 10804.75 36490.01 4785 1:19:45 88080992 0 9202021984000000
100000 20000 Standard my_method 6037.53 150.04 6053 1:40:53 72746456 0 63028678656
100000 20000 Standard my_method 6109.04 458.76 6134 1:42:14 277371360 0 63612907520
100000 5000 Conditional Seurat 4461.63 6694.42 1897.08 31:37.08 103858368 0 9426727376000000
100000 20000 Standard my_method 6562.50 489.20 6468 1:47:48 290996672 0 61289680896
200000 5000 Conditional Seurat 9688.34 7167.78 4575 1:16:15 204354480 0 18637948184000000
100000 20000 Standard my_method 7302.09 2203.24 8339 2:18:59 290997904 0 63060877312
100000 20000 Standard my_method 5561.56 3481.53 9224 2:33:44 251816336 0 58227630080
200000 3000 Conditional Seurat 5686.61 2060.18 4186 1:09:46 140508160 0 11510672664000000
100000 10000 Conditional Seurat 12106.41 12982.14 7358 2:02:38 198231904 0 18338702808000000
200000 5000 Conditional Seurat 9951.30 8323.32 4679 1:17:59 204364944 0 18637948184000000
100000 3000 Conditional Seurat 2452.03 3833.89 853.04 14:13.04 71574976 0 5859082096000000
200000 10000 Standard my_method 12113.03 159.58 12056 3:20:56 128465320 0 86713053184
100000 5000 Conditional Seurat 4715.53 6469.62 2100.07 35:00.07 103869712 0 9426727376000000
200000 10000 Standard my_method 12572.01 1395.53 13711 3:48:31 460550848 0 83285352448
200000 10000 Standard my_method 13814.23 1615.32 14623 4:03:43 513740032 0 84470657024
200000 10000 Conditional Seurat 24323.82 13115.27 14297 3:58:17 272604832 0 36464083240000000
100000 10000 Conditional Seurat 15536.21 5648.57 15214 4:13:34 164177440 0 18338702808000000
200000 10000 Conditional Seurat 24236.39 14322.56 13556 3:45:56 327438320 0 36464083240000000
100000 10000 Conditional Seurat 12234.60 14191.01 6855 1:54:15 198216704 0 18338702808000000
100000 3000 Conditional Seurat 3877.95 3114.39 1212.59 20:12.59 71539776 0 5859082096000000
200000 3000 Conditional Seurat 6063.69 2040.15 4085 1:08:05 140488720 0 11510672664000000
100000 10000 Conditional Seurat 15099.64 4812.50 15319 4:15:19 199206096 0 18338702808000000
100000 5000 Conditional Seurat 4524.29 6764.49 1733.17 28:53.17 103916432 0 9426727376000000
200000 3000 Conditional Seurat 5810.75 2190.71 2658.97 44:18.97 140590992 0 11510672664000000
100000 10000 Conditional Seurat 11725.79 13307.91 6022 1:40:22 198248944 0 18338702808000000
200000 5000 Conditional Seurat 15494.17 5822.87 5625 1:33:45 181127984 0 18637948184000000
200000 5000 Conditional Seurat 12204.65 3629.58 7061 1:57:41 158334592 0 18637948184000000
100000 20000 Conditional Seurat 27231.08 24026.99 22330 6:12:10 333297936 0 36133337216000000
100000 20000 Conditional Seurat 27611.56 27194.52 21535 5:58:55 333299968 0 36133337216000000
100000 20000 Conditional Seurat 27507.72 28067.48 20901 5:48:21 333327344 0 36133337216000000
100000 20000 Conditional Seurat 28315.83 32571.13 20215 5:36:55 333323008 0 36133337216000000
200000 10000 Conditional Seurat 30828.45 5921.34 30590 8:29:50 353085376 0 36464083240000000
200000 10000 Conditional Seurat 35941.49 8705.54 19713 5:28:33 369943392 0 36464083240000000
100000 20000 Conditional Seurat 40414.07 9194.35 56555 15:42:35 333687920 0 36133337216000000
20000 3000 Conditional my_method 47.29 15.47 17.32 0:17.32 11981344 0 5069410304
20000 3000 Conditional my_method 41.78 32.10 22.7 0:22.70 12188304 0 3511984128
20000 3000 Conditional my_method 43.97 21.03 23.44 0:23.44 3059736 0 5240233984
20000 5000 Conditional my_method 77.49 25.04 28.9 0:28.90 19696496 0 4095905792
20000 5000 Conditional my_method 72.91 31.95 31.34 0:31.34 4912924 0 6370357248
20000 5000 Conditional my_method 85.11 17.27 36 0:36.00 19688432 0 7422160896
25000 5000 Conditional my_method 95.89 30.08 36.26 0:36.26 24444928 0 4638052352
25000 5000 Conditional my_method 104.38 32.50 36.45 0:36.45 24350160 0 7669841920
20000 3000 Conditional my_method 138.20 13.97 47.21 0:47.21 12045920 0 2326650880
20000 5000 Conditional my_method 172.73 25.65 48.68 0:48.68 19677312 0 3565649920
20000 10000 Conditional my_method 179.06 39.11 50.35 0:50.35 9637956 0 8855109632
20000 10000 Conditional my_method 165.46 38.31 51.73 0:51.73 38488736 0 7169773568
25000 5000 Conditional my_method 79.98 30.87 26.41 0:26.41 24422160 0 5100498944
20000 10000 Conditional my_method 204.17 35.51 57.29 0:57.29 38465040 0 48561475584
25000 5000 Conditional my_method 189.92 38.12 57.41 0:57.41 24375648 0 4298129408
25000 10000 Conditional my_method 221.34 69.72 60.46 1:00.46 47943760 0 7745056768
25000 10000 Conditional my_method 197.63 85.71 61.46 1:01.46 47902928 0 7782363136
20000 3000 Conditional my_method 39.96 19.52 13.66 0:13.66 12201872 0 3422707712
100000 3000 Conditional my_method 229.74 63.20 68.26 1:08.26 57372320 0 11461922816
100000 3000 Conditional my_method 217.97 87.57 69.55 1:09.55 14345140 0 12196499456
20000 10000 Conditional my_method 204.01 34.70 51.86 0:51.86 38478544 0 8551940096
20000 5000 Conditional my_method 64.99 23.54 21.59 0:21.59 19708352 0 4564647936
25000 10000 Conditional my_method 208.58 46.16 53.23 0:53.23 47882992 0 8266571776
100000 3000 Conditional my_method 204.23 47.56 80.94 1:20.94 57381792 0 8912773120
100000 3000 Conditional my_method 201.17 60.48 61.43 1:01.43 57488048 0 9009659904
20000 20000 Conditional my_method 438.77 76.12 96.9 1:36.90 76032768 0 11706871808
25000 5000 Conditional my_method 98.46 49.58 36.5 0:36.50 24380064 0 17761202176
20000 20000 Conditional my_method 466.79 85.75 99.86 1:39.86 76016048 0 11172155392
25000 10000 Conditional my_method 469.29 60.60 105.02 1:45.02 47837120 0 12293251072
100000 5000 Conditional my_method 433.09 172.01 110.57 1:50.57 95052464 0 22036951040
100000 5000 Conditional my_method 394.62 109.51 111.55 1:51.55 95079872 0 19666341888
20000 20000 Conditional my_method 545.97 123.51 114.08 1:54.08 75972816 0 11215622144
25000 20000 Conditional my_method 578.71 154.69 117.92 1:57.92 23697708 0 20171972608
25000 10000 Conditional my_method 237.34 64.06 57.61 0:57.61 47922416 0 7785259008
25000 20000 Conditional my_method 586.97 105.76 121.54 2:01.54 94783792 0 13635035136
100000 3000 Conditional my_method 254.47 64.11 62.39 1:02.39 57657760 0 8951185408
25000 20000 Conditional my_method 560.37 89.44 112.1 1:52.10 94774784 0 14078255104
100000 5000 Conditional my_method 357.56 83.53 101.31 1:41.31 23769092 0 16105496576
20000 20000 Conditional my_method 1433.26 487.19 123.66 2:03.66 19029420 0 11747995648
100000 5000 Conditional my_method 406.04 167.86 100.86 1:40.86 95055088 0 22695993344
100000 5000 Conditional my_method 742.77 134.61 190.31 3:10.31 94726992 0 13252136960
20000 10000 Conditional my_method 524.07 79.25 140.84 2:20.84 38177840 0 5638737920
20000 20000 Conditional my_method 1347.32 128.32 231.46 3:51.46 75875360 0 10774659072
200000 3000 Conditional my_method 1771.08 123.56 1462.08 24:22.08 172677104 0 31558676480
200000 3000 Conditional my_method 1793.81 177.11 1545.25 25:45.25 172839472 0 31564058624
100000 10000 Conditional my_method 2558.75 321.13 1922.99 32:02.99 241718512 0 42165014528
100000 10000 Conditional my_method 2604.59 169.95 1910.48 31:50.48 60403416 0 41349042176
100000 10000 Conditional my_method 2398.43 574.77 2097.27 34:57.27 241711312 0 39882498048
25000 3000 Conditional my_method 58.31 15.07 17.92 0:17.92 14985824 0 3414007808
25000 3000 Conditional my_method 66.41 18.06 24.29 0:24.29 14977744 0 5421199360
25000 3000 Conditional my_method 154.86 60.15 19.94 0:19.94 3781216 0 3880710144
25000 3000 Conditional my_method 61.68 20.87 19.76 0:19.76 15008144 0 45471371264
25000 3000 Conditional my_method 59.98 37.75 23.5 0:23.50 14978096 0 57824845824
100000 10000 Conditional my_method 2949.43 138.44 2184.65 36:24.65 241468336 0 42876473344
200000 3000 Conditional my_method 3026.64 1266.77 2899.04 48:19.04 172932720 0 66548645888
200000 3000 Conditional my_method 3171.60 734.14 2875.72 47:55.72 173223984 0 31931113472
200000 5000 Conditional my_method 3584.52 181.46 3115.85 51:55.85 71812120 0 53690265600
200000 5000 Conditional my_method 3625.44 387.02 3300.04 55:00.04 287193664 0 51519139840
100000 10000 Conditional my_method 3208.81 1717.44 3352.89 55:52.89 241294976 0 41698189312
100000 20000 Conditional my_method 7222.30 2470.94 7439 2:03:59 483148624 0 77395218432
100000 20000 Conditional my_method 7691.09 2456.85 7515 2:05:15 483344128 0 80622059520
200000 5000 Conditional my_method 5298.04 8310.95 7852 2:10:52 285407168 0 104698941440
200000 5000 Conditional my_method 4590.78 6330.01 7951 2:12:31 279910688 0 106058567680
100000 20000 Conditional my_method 7811.51 6150.84 8138 2:15:38 482998320 0 77441142784
100000 20000 Conditional my_method 9288.76 2264.16 8536 2:22:16 482479008 0 77268512768
100000 20000 Conditional my_method 9291.09 3490.30 9520 2:38:40 480079344 0 77331685376
200000 10000 Conditional my_method 13404.59 559.49 12265 3:24:25 143335400 0 171076808704
200000 10000 Conditional my_method 13479.88 430.71 12283 3:24:43 143343508 0 103154737152
200000 10000 Conditional my_method 13689.90 407.55 12531 3:28:51 143296264 0 103101669376
200000 10000 Conditional Seurat 25115.27 22207.20 9575 2:39:35 393196288 0 36464083240000000
200000 10000 Standard my_method 11926.43 182.61 11715 3:15:15 513859840 0 176482406400
200000 10000 Standard my_method 11584.00 1519.72 12652 3:30:52 513868096 0 200605757440
200000 10000 Conditional my_method 12647.62 4041.38 14967 4:09:27 573226272 0 101879472128
200000 10000 Conditional my_method 12953.11 2157.00 13352 3:42:32 573108064 0 107700322304
200000 3000 Conditional my_method 1757.07 184.83 1510.49 25:10.49 172850240 0 87369699328
200000 5000 Conditional my_method 3522.62 305.81 3050.64 50:50.64 287003520 0 110296104960
200000 5000 Standard my_method 3193.59 150.40 3073.94 51:13.94 257203792 0 54600716288
25000 10000 Conditional Seurat 3405.92 13156.98 1464.15 24:24.15 46858480 0 4745854944000000
20000 20000 Conditional Seurat 7421.84 28595.95 4081 1:08:01 71283056 0 7404771200000000
25000 10000 Conditional Seurat 3433.23 13153.55 1415.9 23:35.90 46854800 0 4745854944000000
25000 20000 Conditional Seurat 8577.66 28850.23 5085 1:24:45 88080784 0 9202021984000000
25000 20000 Conditional Seurat 8621.49 28662.17 5056 1:24:16 88091632 0 9202021984000000
100000 10000 Standard Seurat 5602.46 977.06 419.63 6:59.63 137783456 0 18336513632000000
100000 20000 Standard Seurat 5097.53 669.36 600.15 10:00.15 271684672 0 36131148040000000
200000 3000 Standard Seurat 6940.84 1812.82 501.01 8:21.01 85420080 0 11506883488000000
200000 5000 Standard Seurat 8939.94 1479.85 589.74 9:49.74 138532448 0 18634159008000000
200000 10000 Standard Seurat 15373.27 2358.31 1179.58 19:39.58 271032240 0 36460294064000000
200000 10000 Standard Seurat 15056.56 2510.41 1104.87 18:24.87 270956976 0 36460294064000000
25000 20000 Conditional Seurat 12118.94 38273.71 7155 1:59:15 88089104 0 9202021984000000
