method data_param num_cells seed dim vargenes adj.rsq max.rsq
scaled_NMF int_ex 5000 4 50 3000 0.221179777725049 0.18587883423963
NMF all_cell_types 5000 1 50 3000 0.103400624668879 0.0174131535243096
NMF all_cell_types 5000 2 50 3000 0.0673928116447576 0.0107583722803981
NMF all_cell_types 5000 4 50 3000 0.0915603091100352 0.0143650125868727
NMF all_cell_types 5000 3 50 3000 0.0952503297856332 0.0132062094614115
NMF all_cell_types 5000 5 50 3000 0.063637219010774 0.0103820789177094
scaled_NMF all_cell_types 1000 1 50 3000 0.0421156345405983 0.012624574490452
scaled_NMF all_cell_types 1000 2 50 3000 0.0369787144065171 0.00864784573411448
scaled_NMF all_cell_types 1000 3 50 3000 0.013191149527361 0.00478858665727311
scaled_NMF all_cell_types 1000 4 50 3000 0.0467937927257484 0.0170566701619662
scaled_NMF all_cell_types 500 1 50 3000 0.00666066759559136 0.0112158193563738
scaled_NMF all_cell_types 1000 5 50 3000 0.0267259809169468 0.00509353829688541
scaled_NMF all_cell_types 100 1 50 3000 0.0732994051863621 0.0539745392905164
scaled_NMF all_cell_types 500 2 50 3000 0.0185467255011172 0.00712527038197164
scaled_NMF all_cell_types 500 3 50 3000 0.0303983219603001 0.0114240558447282
scaled_NMF all_cell_types 100 2 50 3000 0.028851116310833 0.0213529189276379
scaled_NMF all_cell_types 100 3 50 3000 0.222752916515938 0.0427041554603615
scaled_NMF all_cell_types 50 1 50 3000 -0.103592206731985 0.0810545440631958
scaled_NMF all_cell_types 100 5 50 3000 -0.0556511581564514 0.0202819922220711
scaled_NMF all_cell_types 100 4 50 3000 0.026044204622821 0.0282551782735668
scaled_NMF all_cell_types 500 4 50 3000 0.0186679510116968 0.0137143868752113
scaled_NMF all_cell_types 50 2 50 3000 0.474014022909055 0.0407967517461111
scaled_NMF all_cell_types 50 3 50 3000 -0.0835434298718463 0.0153813729861528
scaled_NMF all_cell_types 50 5 50 3000 0.423102400379661 0.0352850923165172
scaled_NMF all_cell_types 50 4 50 3000 0.0493889251839108 0.0351738338938847
scaled_NMF all_cell_types 500 5 50 3000 0.0443858695693042 0.0198404571888442
scaled_NMF all_cell_types 5000 1 50 3000 0.0258029469231789 0.00581637075234032
scaled_NMF int_ex 10000 3 50 3000 0.234989928516105 0.202256321124265
NMF int_ex 1000 4 50 3000 0.323153654361264 0.0955046974677746
NMF int_ex 1000 2 50 3000 0.248754219376808 0.0706959634680663
NMF int_ex 1000 3 50 3000 0.314980617027648 0.0871657982796978
scaled_NMF int_ex 10000 4 50 3000 0.228928088591831 0.196802745826059
scaled_NMF int_ex 10000 2 50 3000 0.232168086118134 0.195894792881922
NMF int_ex 1000 1 50 3000 0.276940764945467 0.179499337333164
NMF int_ex 1000 5 50 3000 0.291769892426875 0.108017837226053
scaled_NMF all_cell_types 5000 2 50 3000 0.028625602644433 0.00805622609747969
scaled_NMF int_ex 10000 5 50 3000 0.244578843159363 0.204579241325068
NMF int_ex 100 1 50 3000 0.312574745222055 0.0543479283179218
NMF int_ex 100 2 50 3000 0.282545076134977 0.0306459526165239
NMF int_ex 100 3 50 3000 0.307902680868635 0.041912302946812
